type,name
Pesticide,Pesticide
Pesticide,Insecticide
Pesticide,Fungicide
Pesticide,Herbicide
Pesticide,Arsenicals
Pesticide,Fluorides
Pesticide,Organophosphorus Compounds
Pesticide,Hydrogen Cyanide
Pesticide,Heavy Oils
Pesticide,Mercury
Pesticide,Nicotine
Pesticide,Imidacloprid
Pesticide,Acetamiprid
Pesticide,Cartap Hydrochloride
Pesticide,Spinosad
Pesticide,Emamectin
Pesticide,Fipronil
Pesticide,Indoxacarb
Pesticide,Flubendiamide
Pesticide,Chlorantraniliprole
Pesticide,Fernoxone
Pesticide,Bavistin
Pesticide,Hinosan
Pesticide,Indofil M-4
Disease,Cancer
Pest,Pest
Pesticide,Pesticide Adjuvant
Pesticide,Pesticide Formulation
Pesticide,Pesticide Toxicity
FarmerPractice,Pesticide Handling
Crop,Agricultural Products
Pesticide,Fernoxone 80% Wsp
Pesticide,Bavistin 50 Wp
Pesticide,Hinosan 50 Ec
Pesticide,Indofil M -4 5 75% Wp
Pesticide,Blitox 50 Wp
Crop,Coconut Palms
Pesticide,Pesticide Residue
Pesticide,Carbaryl-1-Naphthyl -Methylcarbamate
Pesticide,Ddt
Pesticide,Aldrin
Pesticide,Endrin
Pesticide,Chlordane
Pesticide,Heptachlor
FarmerPractice,Good Agricultural Practices (Gap)
FarmerPractice,Organic Certification
Pesticide,Chemical Hazards
Pesticide,Residual Toxicity
Pesticide,Maximum Residue Limit
Pesticide,Waiting Period
FarmerPractice,Good Agricultural Practices
Irrigation,Water
Nutrient,Nutrient Deficiency
FarmerPractice,Kissan Kerala Information System
FarmerPractice,Karshikajalakam
FarmerPractice,Fertilizer Advisor
FarmerPractice,Pest Doctor
FarmerPractice,Irrigation Advisor
FarmerPractice,Crop Health Decision Support System
FarmerPractice,Oushadham
Crop,Rubber
Location,Panchayats Of Kerala
FarmerPractice,Community Radio
District,Wayanad District
FarmerPractice,Precision Farming
FarmerPractice,Global Positioning System
FarmerPractice,Geographic Information Systems
Crop,Banana
Crop,Tapioca
Crop,Pineapple
FarmerPractice,Krishibhavans
FarmerPractice,Agriclinics And Agri Business Centers
Fertilizer,Rkvy
Disease,Plant Pathogens
Soil,Soil Health
FarmerPractice,Crop Insurance
Fertilizer,Fertigation
Crop,Okra
Crop,Cassava
Pest,Fall Armyworm
Pest,Stem Borer
Pest,Shoot Fly
Pest,Tuta Absoluta
Pest,Thrips Parvispinus
Pest,Helicoverpa Armigera
Pest,Creontiades Biseratense
Pest,Earias Vittella
Pest,Aphis Gossypii
Pest,Bemisia Tabaci
Pest,Spodoptera Frugiperda
Pest,Aceria Guerreronis
Pest,Mealybugs
State,Karnataka
State,Tamil Nadu
State,Maharashtra
State,Gujarat
Season,Summer
Crop,Asiatic Cotton
Crop,Upland Cotton
Crop,Hybrid Cotton
Pest,American Bollworm
Pest,Pink Bollworm
Pest,Spotted Bollworm
Pest,Leaf-Eating Caterpillar
Crop,Bt Cotton
Pesticide,Bollgard Ii
Pest,Mealybug
Crop,Tomatoes
Pest,Fruit Borers
Pest,Whiteflies
Pest,Serpentine Leaf Miners
Pest,South American Tomato Pinworm
State,Odisha
Pest,Scirtothrips Dorsalis
Pest,Cassava Whitefly
Pest,Cassava Scale
Pest,Variegated Grasshoppers
Pest,Phenacoccus Manihoti
Pest,Fistulococcus Pokfulamensis
Pest,Red Palm Weevils
Pest,Black-Headed Caterpillars
Pest,Rhinoceros Beetles
Pest,Coconut Mites
Pest,Rugose Spiralling Whitefly
Location,Pollachi
District,Salem
District,Namakkal
FarmerPractice,Smart Agriculture Equipment
Pesticide,Agricultural Sprayers
Pesticide,Mini Sprayers
Pesticide,Trailer Mounted Sprayers
Pesticide,Tractor Mounted Sprayers
Fertilizer,Manure Spreader
Location,Jammu Province
Crop,Barely
Crop,Peas
Crop,Oil Seeds
Crop,Roots And Tuber Vegetables
Crop,Leafy And Tuber Vegetables
Crop,Toria
Crop,Mustard
Fertilizer,Green Manure
Soil,Fertility Of Soil
Irrigation,Irrigation Facilities
Nutrient,Hyv Seeds
Crop,Lucerne
Crop,Fodder Crops
District,Udhampur
State,Jammu & Kashmir
Pesticide,Captafol
Pesticide,Butachlor
Pesticide,Pretilachlor
Pesticide,Lindane
Pesticide,Carbofuran
Pesticide,Methyl Parathion
Pesticide,Chlorpyriphos
Pesticide,Zineb
Fertilizer,F.Y.M.
Fertilizer,Dap
Nutrient,N
Nutrient,P
Soil,Clay To Clay Loam Soils
Soil,Deep Black Loamy And Light Soils
FarmerPractice,High Yielding Varieties
Pesticide,Chlorpyriphos 20Ec
Crop,Iet-1410
Crop,China-1039
Crop,Ratna
Crop,Tawi
Crop,Jaya
Crop,Pr-113
Crop,Rr-8585
Crop,Basmati-370
Crop,Dhaincha
Fertilizer,D.A.P.
Fertilizer,Znso4
Fertilizer,Mop
Pest,Trichoderma Viridi
Fertilizer,Feso4
Crop,Rice Straw
Crop,Wheat Straw
FarmerPractice,Leaf Colour Chart
Pesticide,Anilophos
Pesticide,Ethoxy Sulfuron
Pesticide,Bispyribac Sodium
Pesticide,Penoxulam
Pesticide,Acephate
Pesticide,Betacyfluthrin
Pesticide,Propiconazole
Pesticide,Copper Oxychloride
Disease,Khaira Disease
Disease,Brown Leaf-Spot
Disease,Bacterial Leaf Blight
Disease,Bacterial Leaf Streak
Disease,Sheath Blight
Disease,Sheath Rot
Disease,Blast
Pest,Thread Worms
Pest,Leaf Hoppers
Pest,Plant Hoppers
Pest,Grass Hopper
Disease,Zinc Deficiency
Disease,Pyricularia Oryzae
Pesticide,Thiram
Pesticide,Tricyclazole
Soil,Clay Loam Soil
Location,Jammu Division
District,Doda
District,Rajouri
District,Poonch
Season,April
Season,March
Season,July
FarmerPractice,Paddy Hand Transplanter
FarmerPractice,Drum Seeder
Pesticide,Pyrozosulphuron
Nutrient,K
Crop,Ganga Safed 2 (Gs-2)
Crop,Vivek Maize Hybrid -25
Crop,Vivek Qpm-9
Crop,Vijay
Crop,C-6 (Shalimar)
Crop,C-2
Crop,Composite (Trikuta)
Crop,Composite C-8
Pesticide,Captan
Location,Jammu
Pesticide,Carboxin
Fertilizer,Single Super Phosphate
Disease,Zn Deficiency
Pesticide,Atrazine
Pesticide,Pendimethalin
Pesticide,Fluchloralin
Pesticide,Methyl Demeton
Pesticide,Cypermethrin
Pesticide,Deltamethrin
Pesticide,Dichlorvos
Pest,Hairy Caterpillars
Pest,Maize Cut Worm
State,Jammu
Disease,Sclerospora Graminicola
Disease,Claviceps Microcephala
Disease,Tolyposporium Penicillarial
Fertilizer,Znso4 Heptahydrate
Fertilizer,Znso4 Monohydrate
Fertilizer,Di Ammonium Phosphate
Crop,Athatoda Vasica
FarmerPractice,Trap Crop
FarmerPractice,Intercropping
FarmerPractice,Seed Treatment
FarmerPractice,Crop Rotation
FarmerPractice,Land Preparation
FarmerPractice,Water Management
Pesticide,Cartap
Disease,Phyllody
Disease,Bacterial Blight
Crop,Cheena
Crop,Salan
Crop,Kangni
Crop,Punjab No-1
Crop,M-13
Crop,Jl-24
Soil,Sandy Loam
Soil,Marginal Soils
Irrigation,Rainfed
Season,Monsoon
Season,May
Season,June
Nutrient,Zn Deficiency
Crop,Groundnut
Crop,Mash
Crop,Moong
Crop,Soybean
Disease,Tikka Disease
Disease,Stem Rot
Pest,Leaf Miner
Pest,White Grub
Pest,Termites
Pesticide,Carbendazium
Nutrient,Rhizobium Culture
Nutrient,Phosphorus
Fertilizer,Gypsum
Fertilizer,Single Super Phosphate (Ssp)
FarmerPractice,Tawi Plough
FarmerPractice,Desi Plough
FarmerPractice,Disc Harrow
FarmerPractice,Planking
Location,Sub-Tropical Area
Location,Intermediate Area
Location,Higher Hills
Location,Temperate Region
Weather,Hot And Humid Climate
Soil,Water Logging
Crop,Bragg
Crop,Clark-6
Crop,Pb-1
Nutrient,Jaggery
Crop,Sunhemp
Pest,Hairy Caterpillar
Pest,Flea Beetle
Pest,White Fly
Crop,C-152
Crop,Ps-42
Crop,Culture-1
Disease,Anthracnose
Disease,Angular Leaf Spot
Disease,Floury Leaf Spot
Crop,Ec-4216
Crop,Hf-642-1
Crop,Type-2
Crop,Cowpeas
Crop,Guara
Crop,Teosite
Crop,Chari
Crop,Nappier
Crop,Pioneer Jowar
Crop,Teosinte
Location,Jammu & Kashmir
Irrigation,Irrigated
Soil,Light Soils
Soil,Fertile Loamy Soil
Nutrient,Mimosine
Crop,Green Fodder
Crop,Velvent Beans
Fertilizer,Super-Phosphate
Crop,Grasses
Pest,Weeds
Crop,Berseem
Crop,Oat
Crop,Paddy Straw
Crop,Bajra Stovers
Soil,Grassland
Crop,Parkinsonia
Crop,Opuntia
Crop,Ipomea
Pest,Lantana
Crop,Euphorbia
Crop,Napier
Crop,Setaria
Crop,Cenchrus
Crop,Saccharum
Crop,Silage
Crop,Hybrid Napier
Crop,Steria
Disease,Red Rot
Disease,Collectotrichum Falcatum
Location,Kashmir
Season,Rainy Season
Season,February
Season,Dec.-Jan.
Season,May-June
Season,July-Aug.
Season,10-12 Months
Soil,Clay Loam
Disease,Fusarium Oxysporum F. Sp. Gladioli
Pesticide,Agallol
Pesticide,Trichoderma Spp.
Fertilizer,Diammonium Phosphate
Fertilizer,Murate Of Potash
Fertilizer,Farm Yard Manure
Crop,Ratoon Crop
Disease,Blight
Crop,Mushroom
Season,August
Season,September
Season,October
Season,November
Season,December
Season,January
State,Bihar
Location,Eastern States
Location,Southern States
Location,Northern States
Location,Western States
Disease,Covid-19
Crop,Agriculture
Crop,Livestock
Crop,Forestry
Crop,Fisheries
FarmerPractice,Green Revolution
FarmerPractice,White Revolution
FarmerPractice,Gene Revolution
FarmerPractice,Blue Revolution
Nutrient,Agri-Gdp
Nutrient,Farmers' Welfare
Organization,Nabard
Organization,Department Of Economic Analysis And Research
Crop,High Yielding Varieties
FarmerPractice,Soil Health Cards Scheme
State,Assam
State,Jharkhand
State,Chhattisgarh
Crop,Millets
Crop,Jute
Crop,Mesta
Crop,Tea
Crop,Coffee
Crop,Castor
Crop,Sesamum
Crop,Rapeseed & Mustard
Crop,Linseed
Pest,Agri Labourers
Pest,Agri Workers
Crop,Pigeon Pea
Crop,Black Gram
Location,Western Region
Location,North Eastern States
Location,Southern Region
Location,Central States
Weather,Droughts
Weather,Severe Cyclonic Storms
Nutrient,Agriculture Credit
FarmerPractice,Micro Irrigation
Fertilizer,High Yield Varieties
FarmerPractice,Cold Storage Structures
Crop,Sticky Rice
Crop,Wakro Oranges
Crop,Kiwi Fruit
Crop,Mandarin
Crop,Black Pepper
Crop,Lemon Grass
Crop,Bamboo
Crop,Cane
Crop,Broom Grass
Crop,Asparagus
Crop,Celery
Crop,Bell Pepper
Crop,Sweet Corn
Crop,Green Beans
Crop,Lima Beans
Crop,Gherkins
Crop,Medicinal Plants
Crop,Aromatic Plants
FarmerPractice,Dairy
Soil,Ground Water
FarmerPractice,Rainwater Harvesting
FarmerPractice,Agroforestry
Crop,Horticulture
FarmerPractice,Cooperative Farming
FarmerPractice,Collective Farming
FarmerPractice,Producers Organizations
FarmerPractice,Contract Farming
Irrigation,Micro Irrigation
FarmerPractice,Energy Efficient Water Pumping Devices
FarmerPractice,High Efficiency Pumping System
FarmerPractice,Solar Pumping Systems
FarmerPractice,Post-Harvest Management
FarmerPractice,Crop Diversification
Nutrient,Soil Nutrients
FarmerPractice,Institutional Credit
Crop,Coarse Grains
Nutrient,Humus
State,Goa
Crop,Sugar Cane
Crop,Cashew
Crop,Mangoes
Crop,Jackfruits
Crop,Bananas
Crop,Pineapples
Crop,Condiments
Crop,Date Palms
Crop,Sapota
FarmerPractice,Fpos
FarmerPractice,Tractors
FarmerPractice,Rotavator
FarmerPractice,Laser Leveller
FarmerPractice,Harvester
FarmerPractice,Fpo Policy
FarmerPractice,Farm Mechanisation
FarmerPractice,Food Processing Sector
FarmerPractice,Co-Operative Model
State,Himachal Pradesh
Crop,Temperate Fruits
Crop,Citrus Fruits
Country,Jammu & Kashmir
Crop,Almond
Crop,Litchi
Crop,Phalsa
Crop,Ber
Location,Jammu And Kashmir
Crop,Pear
Crop,Peach
Crop,Plum
Crop,Apricot
Crop,Cherry
Location,Jharkhand
Crop,Ranchi Local
Crop,Tasar Silk
Crop,Freshwater Fish
FarmerPractice,Floriculture
Nutrient,Green Fodder
Nutrient,Dry Fodder
Nutrient,Concentrate Feed
FarmerPractice,Poultry
Livestock,Sheep
Livestock,Goat
Livestock,Pig
State,Madhya Pradesh
FarmerPractice,Integrated Farming System
Irrigation,Artificial Recharge Structures
Irrigation,Rain Water Harvesting
FarmerPractice,Dryland Farming
FarmerPractice,High-Tech Agriculture
Crop,Cash Crops
Crop,Coriander
Crop,Chili
FarmerPractice,Aquaculture
Disease,Soil Erosion
Weather,Drought
Crop,Onions
Crop,Mandarin Oranges
Crop,Pomegranates
Crop,Alphonso Mangoes
Crop,Seedless Grapes
State,Manipur
Location,Rice Bowl
Crop,Giant Kew
Crop,Queen
Crop,Passion Fruit
Crop,Agar
Crop,Fish
Crop,Meat
Crop,Milk
Crop,Eggs
Disease,Floods
Disease,Submergence
Disease,Landsides
Location,Loktak Lake
State,Meghalaya
District,East Khasi Hills
District,Ri Bhoi
District,Khasi Hills
District,West Jaintia
District,East Jaintia
Location,Northeast India
FarmerPractice,Agro-Processing
Soil,Agro-Climatic Conditions
Crop,Cashewnut
Crop,Arecanut
Crop,Orange
Crop,Jackfruit
State,Mizoram
State,Nagaland
State,Rajasthan
State,Sikkim
FarmerPractice,Shifting Cultivation
FarmerPractice,Organic By Design
FarmerPractice,Organic By Default
FarmerPractice,Sericulture
Soil,Soil Erosion
Soil,Loamy Sand
Soil,Silty Clay Loam
Irrigation,Rainfed Condition
Crop,Buckwheat
Crop,Large Cardamom
Crop,Mandarin Orange
Crop,Bean
Crop,Garden Pea
Crop,Radish
State,Telangana
State,Tripura
FarmerPractice,Rainfed Agriculture
Fertilizer,Seeds
Crop,Seeds
Crop,Hybrid Paddy
FarmerPractice,System Of Rice Intensification (Sri)
Crop,Lemon
Crop,Cashew Nut
Crop,Cabbage
Crop,Cauliflower
Crop,Watermelon
Crop,French Bean
Crop,Cow Pea
Crop,Gourds
Irrigation,Artificial Recharge
Location,Bundelkhand
State,Uttarakhand
District,North Tripura
District,Dhalai
District,South Tripura
District,Sepahijala
Crop,Herbal Plants
Crop,Pig
Crop,Poultry
Crop,Honey
Crop,Onion
Crop,Organic Fish
FarmerPractice,Artificial Insemination
FarmerPractice,Cold Storage
FarmerPractice,Agri-Logistics
FarmerPractice,Sampada Yojana
FarmerPractice,Amar Dhan Amar Chatal
Soil,Brackish Water
FarmerPractice,Cage Culture
FarmerPractice,Pen Culture
Crop,Fresh Water Prawn
Nutrient,Institutional Credit
State,Uttar Pradesh
Season,June -July
Season,September -October
Crop,Rapeseed
Nutrient,Water
FarmerPractice,Pradhan Mantri Krishi Sinchayee Yojana
Nutrient,Water Productivity
Nutrient,Water-Use Efficiency
Crop,Tur/Arhar
Crop,Rapeseed-Mustard
Water,Freshwater
State,West Bengal
State,Uttarkhand
FarmerPractice,Drip
FarmerPractice,Solar Irrigation
FarmerPractice,Artificial Recharge Structures
District,District
State,State
Weather,Rainfall
Weather,Evapo-Transpiration
Soil,Water Scarcity
Crop,Tur
Nutrient,Irrigation Water Productivity
Country,China
Country,Bangladesh
Country,Vietnam
Location,Indus River
Location,Krishna River
Location,Yellow River
District,Dindigul
District,Tikamgarh
Season,Season 1
Season,Season 2
Season,Boro
Soil,Groundwater
Soil,Surface Water
Location,Konkan Belt
Nutrient,Economic Water Productivity
Nutrient,Farm Harvest Prices
FarmerPractice,Precision Irrigation
FarmerPractice,System Of Rice Intensification
Disease,Water Stress
FarmerPractice,Minimum Support Price
FarmerPractice,Solar-Powered Pumps
Disease,Soil Moisture Stress
State,Up
District,Moga
District,Ludhiana
District,Mukatsar
District,Sangrur
Season,Spring
Season,Winter
FarmerPractice,Farm Ponds
FarmerPractice,Sprinkler Irrigation
Crop,Improved Varieties
Fertilizer,Fertilization
Country,Usa
Country,Brazil
Location,Eu
Country,Ukraine
Country,Argentina
Country,Mexico
Fertilizer,Fertiliser
FarmerPractice,Cimmyt
Soil,Rainfed
FarmerPractice,Farm Harvest Price
District,Jaipur
District,Rajgarh
District,Kurnool
District,Latur
Nutrient,0.63 Kg/M3
Nutrient,0.52 Kg/M3
Nutrient,1.11 Kg/M3
Nutrient,2.13 Kg/M3
Nutrient,3.5 Times
Nutrient,10 Cm-15 Cm
Nutrient,0.27 Kg/M3
Nutrient,Rs 21.1/M3
Nutrient,Rs 53.4/M3
Nutrient,0.14 To 3.23 Kg/M3
Nutrient,2.66 Million Tonnes
Nutrient,683 Kg/Hectare
Nutrient,656 Kg
Nutrient,4.8 Million Tonnes
Nutrient,695.3 Kg/Ha
District,Kanpur Dehat
District,Bundelkhand
District,Rohilkhand
Soil,Residual Soil Moisture
Soil,Light Textured Soils
Location,Saurashtra
Nutrient,500 Mm
Nutrient,"1,250 Mm"
Nutrient,100 Mm
Nutrient,150 Mm
Nutrient,400-500 Mm
Water,16.01 Km 3
Water,15.55 Km 3
Nutrient,1.42 T/Ha
Nutrient,2.23 T/Ha
Nutrient,1.32 T/Ha
Nutrient,1151 Kg/Ha
Nutrient,2144 Kg/Ha
Season,10-15 Days
Irrigation,8-9 Light Irrigations
Irrigation,11-12 Irrigations
FarmerPractice,Micro-Sprinklers
FarmerPractice,Sprinklers
District,Sri Ganganagar
District,Mahendragarh
District,Bhind
Weather,Monsoon
FarmerPractice,Drip Irrigation
Soil,Heavy Soils
FarmerPractice,Physical Water Productivity
FarmerPractice,Economic Water Productivity
Location,Central Zone
Location,Southern Zone
FarmerPractice,Rainfed
FarmerPractice,Flood Irrigation
District,Hoshiarpur
District,Gurdaspur
FarmerPractice,Surface Irrigation
Season,2016-17
FarmerPractice,Water Productivity Report
Irrigation,Surface Irrigation
Irrigation,Micro-Irrigation
Water,Rainwater
Nutrient,Electricity
FarmerPractice,Solar Pumps
FarmerPractice,Water Users Association
Crop,Pulse
Crop,Oilseed
Country,Israel
Location,North Africa
Location,West Asia
Crop,Edible Oils
