source,relation,target
Paddy,CONTROLLED_BY,Pseudomonas Fluorescens Tnau
Paddy,CONTROLLED_BY,Flusilazole
Paddy,CONTROLLED_BY,Iprodione
Paddy,CONTROLLED_BY,Pencycuron
Paddy,CONTROLLED_BY,Thifluzamide
Paddy,CONTROLLED_BY,Copper Hydroxide
Paddy,CONTROLLED_BY,Halogen Mixture
Paddy,CONTROLLED_BY,Halopolymer
Paddy,CONTROLLED_BY,Halogen Mixture
Paddy,CONTROLLED_BY,Technological Innovation
Paddy,CONTROLLED_BY,Thresher
Paddy,CONTROLLED_BY,Reaper
Paddy,CONTROLLED_BY,Reaper Binder
Paddy,DEPENDS_ON,High Yielding Varieties
Paddy,DEPENDS_ON,High Yielding Varieties
Paddy,REQUIRES,Irrigation
Paddy,REQUIRES,Gypsum
Paddy,REQUIRES,Npk
Paddy,REQUIRES,Fertilizers
Paddy,REQUIRES,Water
Paddy,REQUIRES,Znso4
Paddy,REQUIRES,Feso4
Paddy,REQUIRES,Gypsum
Paddy,REQUIRES,Soil Nutrients
Paddy,REQUIRES,Humus
Paddy,REQUIRES,Water
Paddy,REQUIRES,Znso4
Paddy,REQUIRES,Feso4
Paddy,REQUIRES,Npk
Paddy,REQUIRES,Gypsum
Paddy,REQUIRES,Znso4
Rice,GROWN_IN,Andhra Pradesh
Rice,GROWN_IN,Jammu And Kashmir
Rice,GROWN_IN,Kashmir Valley
Rice,GROWN_IN,Jammu
Rice,GROWN_IN,Sodic Soils
Rice,GROWN_IN,Punjab
Rice,GROWN_IN,Haryana
Rice,GROWN_IN,India
Rice,GROWN_IN,Kathua
Rice,GROWN_IN,Agro-Ecosystem
Rice,GROWN_IN,Kerala
Rice,GROWN_IN,Azolla
Rice,GROWN_IN,Kerala
Rice,GROWN_IN,Karnataka
Rice,GROWN_IN,Tamil Nadu
Rice,GROWN_IN,Odisha
Rice,GROWN_IN,Jammu & Kashmir
Rice,GROWN_IN,Jammu Division
Rice,GROWN_IN,Jammu & Kashmir
Rice,GROWN_IN,Bihar
Rice,GROWN_IN,Agriculture
Rice,GROWN_IN,Assam
Rice,GROWN_IN,Jharkhand
Rice,GROWN_IN,Chhattisgarh
Rice,GROWN_IN,Jammu And Kashmir
Rice,GROWN_IN,Jharkhand
Rice,GROWN_IN,Madhya Pradesh
Rice,GROWN_IN,Sikkim
Rice,GROWN_IN,Telangana
Rice,GROWN_IN,Uttar Pradesh
Rice,GROWN_IN,West Bengal
Rice,GROWN_IN,Bangladesh
Rice,GROWN_IN,Tamil Nadu
Rice,GROWN_IN,Puddling
Rice,GROWN_IN,Tiruvarur
Rice,GROWN_IN,Nagapattinam
Rice,GROWN_IN,Eastern Region
Rice,GROWN_IN,Nepal
Rice,GROWN_IN,Arunachal Pradesh
Rice,GROWN_IN,Agro-Ecosystem
Rice,GROWN_IN,Thailand
Rice,GROWN_IN,Bangladesh
Rice,GROWN_IN,Burma
Rice,GROWN_IN,Southern China
Rice,GROWN_IN,West Malaysia
Rice,GROWN_IN,Nepal
Rice,GROWN_IN,Pakistan
Rice,GROWN_IN,Sumatra
Rice,GROWN_IN,Thailand
Rice,GROWN_IN,West Iran
Rice,GROWN_IN,Burma
Rice,GROWN_IN,Indo-Gangetic Plains
Rice,GROWN_IN,Andhra Pradesh
Rice,GROWN_IN,Telangana
Rice,GROWN_IN,Punjab
Rice,GROWN_IN,Konkan Region
Rice,GROWN_IN,Malabar And Kannara Region
Rice,GROWN_IN,Southeastern Region
Rice,GROWN_IN,Tamilnadu
Rice,GROWN_IN,Agriculture
Rice,GROWN_IN,Uttar Pradesh
Rice,GROWN_IN,Azolla
Rice,GROWN_IN,Oryza Sativa
Rice,GROWN_IN,Insect Traps
Rice,GROWN_IN,Salvinia Molesta
Rice,GROWN_IN,North East Region
Rice,GROWN_IN,Chattisgarh
Rice,GROWN_DURING,Kharif
Rice,GROWN_DURING,Jammu And Kashmir
Rice,GROWN_DURING,Irrigation
Rice,GROWN_DURING,Samba
Rice,GROWN_DURING,Water
Rice,GROWN_DURING,April
Rice,GROWN_DURING,March
Rice,GROWN_DURING,July
Rice,GROWN_DURING,August
Rice,GROWN_DURING,Jammu And Kashmir
Rice,GROWN_DURING,Water
Rice,GROWN_DURING,Season 1
Rice,GROWN_DURING,Season 2
Rice,GROWN_DURING,Winter
Rice,GROWN_DURING,Kuruvai
Rice,GROWN_DURING,Samba
Rice,GROWN_DURING,Thaladi
Rice,GROWN_DURING,August
Rice,GROWN_DURING,Seedling Stage
Rice,GROWN_DURING,Post Transplanting Tillering Stage
Rice,GROWN_DURING,Neck Emergence Stage
Rice,GROWN_DURING,Wet Season
Rice,GROWN_DURING,Kharif Marketing Season
Rice,AFFECTED_BY,Irrigation
Rice,AFFECTED_BY,Integrated Pest Management
Rice,AFFECTED_BY,Pests
Rice,AFFECTED_BY,Stem Borer
Rice,AFFECTED_BY,High Yielding Varieties
Rice,AFFECTED_BY,Khaira Disease
Rice,AFFECTED_BY,Brown Leaf-Spot
Rice,AFFECTED_BY,Bacterial Leaf Blight
Rice,AFFECTED_BY,Bacterial Leaf Streak
Rice,AFFECTED_BY,Sheath Blight
Rice,AFFECTED_BY,Sheath Rot
Rice,AFFECTED_BY,Blast
Rice,AFFECTED_BY,Zn Deficiency
Rice,AFFECTED_BY,Bacterial Blight
Rice,AFFECTED_BY,Zn Deficiency
Rice,AFFECTED_BY,Blight
Rice,AFFECTED_BY,October
Rice,AFFECTED_BY,November
Rice,AFFECTED_BY,December
Rice,AFFECTED_BY,Drought
Rice,AFFECTED_BY,Indus River
Rice,AFFECTED_BY,Krishna River
Rice,AFFECTED_BY,Yellow River
Rice,AFFECTED_BY,Scirpophaga Incertulas
Rice,AFFECTED_BY,Echinochloa Crusgalli
Rice,AFFECTED_BY,Panicum Repens
Rice,AFFECTED_BY,Eclipta Alba
Rice,AFFECTED_BY,Monochoria Vaginalis
Rice,AFFECTED_BY,Brown Spot
Rice,AFFECTED_BY,Excessive Moisture
Rice,AFFECTED_BY,November
Rice,AFFECTED_BY,Brevennia Rehi
Rice,AFFECTED_BY,Pink Borer
Rice,AFFECTED_BY,High Humidity
Rice,AFFECTED_BY,High Temperature
Rice,AFFECTED_BY,Cloudy Weather
Rice,AFFECTED_BY,Narrow Brown Leaf Spot
Rice,AFFECTED_BY,Excessive Nitrogen
Rice,AFFECTED_BY,Nephotettix Virescens
Rice,AFFECTED_BY,Blast Resistance
Rice,AFFECTED_BY,Rice Blast
Rice,AFFECTED_BY,Disease Resistance
Rice,AFFECTED_BY,Cnaphalocrocis Medinalis
Rice,AFFECTED_BY,Leptocorisa Acuta
Rice,AFFECTED_BY,Sogatella Furcifera
Rice,AFFECTED_BY,Nephotettix Nigropictus
Rice,AFFECTED_BY,Blb
Rice,AFFECTED_BY,Xunthomonas Cumpestris Pv. Otyzae
Rice,AFFECTED_BY,Nematode
Rice,AFFECTED_BY,Planthoppers
Rice,CONTROLLED_BY,Irrigation
Rice,CONTROLLED_BY,Integrated Pest Management
Rice,CONTROLLED_BY,Neem Oil
Rice,CONTROLLED_BY,Mancozeb
Rice,CONTROLLED_BY,Carbendazim
Rice,CONTROLLED_BY,Pseudomonas Fluorescens
Rice,CONTROLLED_BY,Thiamethoxam
Rice,CONTROLLED_BY,Imidacloprid
Rice,CONTROLLED_BY,Cartap Hydrochloride
Rice,CONTROLLED_BY,Butachlor
Rice,CONTROLLED_BY,Lindane
Rice,CONTROLLED_BY,Carbofuran
Rice,CONTROLLED_BY,Methyl Parathion
Rice,CONTROLLED_BY,Chlorpyriphos
Rice,CONTROLLED_BY,Zineb
Rice,CONTROLLED_BY,Chlorpyriphos 20Ec
Rice,CONTROLLED_BY,Anilophos
Rice,CONTROLLED_BY,Ethoxy Sulfuron
Rice,CONTROLLED_BY,Bispyribac Sodium
Rice,CONTROLLED_BY,Penoxulam
Rice,CONTROLLED_BY,Acephate
Rice,CONTROLLED_BY,Betacyfluthrin
Rice,CONTROLLED_BY,Propiconazole
Rice,CONTROLLED_BY,Copper Oxychloride
Rice,CONTROLLED_BY,Thiram
Rice,CONTROLLED_BY,Tricyclazole
Rice,CONTROLLED_BY,Crop Rotation
Rice,CONTROLLED_BY,Green Revolution
Rice,CONTROLLED_BY,Trichogramma Japonicum
Rice,CONTROLLED_BY,Bacillus Thuringiensis Var Kurstaki
Rice,CONTROLLED_BY,Trichogramma Chilonis
Rice,CONTROLLED_BY,Nske
Rice,CONTROLLED_BY,Bacillus Subtilis
Rice,CONTROLLED_BY,Bacillus Subtilis
Rice,CONTROLLED_BY,Monocrotophos
Rice,CONTROLLED_BY,Streptocycline
Rice,CONTROLLED_BY,Field Sanitation
Rice,CONTROLLED_BY,Pseudomonas Fluorescens
Rice,CONTROLLED_BY,Pseudomonas Fluorescens
Rice,CONTROLLED_BY,Pseudomonas Fluorescens
Rice,CONTROLLED_BY,Bacillus Subtilis
Rice,CONTROLLED_BY,Nske
Rice,CONTROLLED_BY,Carbofuran
Rice,CONTROLLED_BY,Copper Oxychloride
Rice,CONTROLLED_BY,Hot Water Treatment
Rice,CONTROLLED_BY,Clipping Of Tip Of The Seedling
Rice,CONTROLLED_BY,Phosphomidan
Rice,CONTROLLED_BY,Green Revolution
Rice,CONTROLLED_BY,Trichoderma Harzianum
Rice,CONTROLLED_BY,Chaetomium Globosum
Rice,CONTROLLED_BY,Bt
Rice,CONTROLLED_BY,Tilt
Rice,CONTROLLED_BY,Synchronized Establishment
Rice,CONTROLLED_BY,Removal Of Weeds
Rice,CONTROLLED_BY,Clipping Of Rice Seedlings Tips
Rice,CONTROLLED_BY,Minimum Support Prices
Rice,DEPENDS_ON,Irrigation
Rice,DEPENDS_ON,Leaf Colour Chart
Rice,DEPENDS_ON,Clay Loam Soil
Rice,DEPENDS_ON,Rainfall
Rice,DEPENDS_ON,Irrigation Water Productivity
Rice,DEPENDS_ON,High Yielding Variety Of Seeds
Rice,DEPENDS_ON,"1,000 Mm"
Rice,DEPENDS_ON,"1,400 Mm"
Rice,DEPENDS_ON,"1,600 Mm"
Rice,REQUIRES,Irrigation
Rice,REQUIRES,Soil
Rice,REQUIRES,Npk
Rice,REQUIRES,Nutrients
Rice,REQUIRES,Azospirillum
Rice,REQUIRES,Compost
Rice,REQUIRES,Fym
Rice,REQUIRES,Urea
Rice,REQUIRES,Zinc Sulphate
Rice,REQUIRES,Water
Rice,REQUIRES,F.Y.M.
Rice,REQUIRES,Clay To Clay Loam Soils
Rice,REQUIRES,D.A.P.
Rice,REQUIRES,Znso4
Rice,REQUIRES,Feso4
Rice,REQUIRES,Water
Rice,REQUIRES,44-Million-Hectare
Rice,REQUIRES,97 Million Tonnes
Rice,REQUIRES,Azospirillum
Rice,REQUIRES,Phosphobacteria
Rice,REQUIRES,Kcl
Rice,REQUIRES,Znso4
Rice,REQUIRES,Feso4
Rice,REQUIRES,Azospirillum
Rice,REQUIRES,Phosphobacteria
Rice,REQUIRES,Npk
Rice,REQUIRES,Nitrogen
Rice,REQUIRES,Kcl
Rice,REQUIRES,Azospirillum
Rice,REQUIRES,Phosphobacteria
Rice,REQUIRES,Znso4
Rice,REQUIRES,Azospirillum
Rice,REQUIRES,Phosphobacteria
Rice,REQUIRES,Irrigation Water
Rice,REQUIRES,Nitrogen
Rice,REQUIRES,Black Cotton Soils
Rice,REQUIRES,Irrigation
Rice,REQUIRES,Fertilizer Responsiveness
Rice,REQUIRES,Xanthomonas Oryzae Pv. Oryzae
Rice,REQUIRES,Xanthomonas Oryzae Pv. Oryzae
Rice,REQUIRES,Weed Control
Rice,REQUIRES,Timely Planting
Rice,REQUIRES,Balanced Use Of Fertilizers
Cotton,GROWN_IN,Andhra Pradesh
Cotton,GROWN_IN,Punjab
Cotton,GROWN_IN,India
Cotton,GROWN_IN,Integrated Pest Management
Cotton,GROWN_IN,Agro-Ecosystem
Cotton,GROWN_IN,Whitefly
Cotton,GROWN_IN,Karnataka
Cotton,GROWN_IN,Tamil Nadu
Cotton,GROWN_IN,Maharashtra
Cotton,GROWN_IN,Gujarat
Cotton,GROWN_IN,Groundnut
Cotton,GROWN_IN,Bihar
Cotton,GROWN_IN,Chhattisgarh
Cotton,GROWN_IN,Western Region
Cotton,GROWN_IN,Telangana
Cotton,GROWN_IN,West Bengal
Cotton,GROWN_IN,Gujarat
Cotton,GROWN_IN,Spodoptera Litura
Cotton,GROWN_IN,Tamil Nadu
Cotton,GROWN_IN,Ramanathapuram
Cotton,GROWN_IN,Virudhunagar
Cotton,GROWN_IN,Tirunelveli
Cotton,GROWN_IN,Thoothukudi
Cotton,GROWN_IN,Thirumangalam
Cotton,GROWN_IN,Sattur
Cotton,GROWN_IN,Kovilpatti
Cotton,GROWN_IN,Kovilpatti
Cotton,GROWN_IN,Thirumangalam
Cotton,GROWN_IN,Agro-Ecosystem
Cotton,GROWN_IN,Orissa
Cotton,GROWN_IN,Karnataka
Cotton,GROWN_IN,Andhra Pradesh
Cotton,GROWN_IN,Maharastra
Cotton,GROWN_IN,North India
Cotton,GROWN_IN,Punjab
Cotton,GROWN_IN,Southeastern Region
Cotton,GROWN_IN,Mughal India
Cotton,GROWN_IN,Bt Varieties
Cotton,GROWN_IN,Field Crops
Cotton,GROWN_IN,Tractor-Mounted Sprayer
Cotton,GROWN_DURING,Kharif
Cotton,GROWN_DURING,Irrigation
Cotton,GROWN_DURING,Summer
Cotton,GROWN_DURING,April
Cotton,GROWN_DURING,November
Cotton,GROWN_DURING,December
Cotton,GROWN_DURING,Winter
Cotton,GROWN_DURING,November
Cotton,GROWN_DURING,Dryland Agriculture
Cotton,AFFECTED_BY,Insecticides
Cotton,AFFECTED_BY,Pests
Cotton,AFFECTED_BY,Whitefly
Cotton,AFFECTED_BY,Helicoverpa Armigera
Cotton,AFFECTED_BY,Mealybugs
Cotton,AFFECTED_BY,Pink Bollworm
Cotton,AFFECTED_BY,Leaf Hoppers
Cotton,AFFECTED_BY,Red Rot
Cotton,AFFECTED_BY,Excess Rainfall
Cotton,AFFECTED_BY,Pink Ball Worm
Cotton,AFFECTED_BY,Lepidoptera
Cotton,AFFECTED_BY,Spodoptera Litura
Cotton,AFFECTED_BY,B. Tabaci
Cotton,AFFECTED_BY,Harsh Weather
Cotton,AFFECTED_BY,Verticillium Wilt
Cotton,AFFECTED_BY,Lepidoptera
Cotton,CONTROLLED_BY,Pesticides
Cotton,CONTROLLED_BY,Insecticides
Cotton,CONTROLLED_BY,Neem Cake
Cotton,CONTROLLED_BY,Carbendazim
Cotton,CONTROLLED_BY,Pseudomonas Fluorescens
Cotton,CONTROLLED_BY,Bacillus Thuringiensis
Cotton,CONTROLLED_BY,Fym
Cotton,CONTROLLED_BY,Drip Irrigation
Cotton,CONTROLLED_BY,Pesticide
Cotton,CONTROLLED_BY,Imidacloprid
Cotton,CONTROLLED_BY,Chlorpyriphos
Cotton,CONTROLLED_BY,Jute
Cotton,CONTROLLED_BY,Drip Irrigation
Cotton,CONTROLLED_BY,Flood Irrigation
Cotton,CONTROLLED_BY,Azophos
Cotton,CONTROLLED_BY,Azadirachtin
Cotton,CONTROLLED_BY,Pseudomonas Fluorescens
Cotton,CONTROLLED_BY,Azophos
Cotton,CONTROLLED_BY,Azophos
Cotton,CONTROLLED_BY,Pseudomonas Fluorescens
Cotton,CONTROLLED_BY,Pseudomonas Fluorescens
Cotton,CONTROLLED_BY,Dimethoate 30Ec
Cotton,CONTROLLED_BY,Oxydemeton Methyl 25Ec
Cotton,CONTROLLED_BY,Formothion 25Ec
Cotton,CONTROLLED_BY,Imidacloprid 200 Sl
Cotton,CONTROLLED_BY,Acatamiprid 20Sp
Cotton,CONTROLLED_BY,Thiamethoxam 25Wg
Cotton,CONTROLLED_BY,Bacillus Thuringiensis
Cotton,CONTROLLED_BY,Bacillus Thuringiensis
Cotton,CONTROLLED_BY,Minimum Support Prices
Cotton,DEPENDS_ON,Rainfed
Cotton,DEPENDS_ON,Rainfed
Cotton,DEPENDS_ON,Rainfed
Cotton,DEPENDS_ON,"1,000 Mm"
Cotton,REQUIRES,Irrigation
Cotton,REQUIRES,Gypsum
Cotton,REQUIRES,Npk
Cotton,REQUIRES,Fertilizer
Cotton,REQUIRES,Gypsum
Cotton,REQUIRES,Kcl
Cotton,REQUIRES,Npk
Cotton,REQUIRES,Nitrogen
Cotton,REQUIRES,Kcl
Cotton,REQUIRES,Tnau Mn Mixture
Cotton,REQUIRES,Gypsum
Cotton,REQUIRES,Mgso4
Cotton,REQUIRES,Multi K
Cotton,REQUIRES,Nitrogen
Cotton,REQUIRES,Nitrogen Fertilizers
Bajra,GROWN_IN,Andhra Pradesh
Bajra,GROWN_IN,Jammu
Bajra,GROWN_IN,Soil
Bajra,GROWN_IN,Punjab
Bajra,GROWN_IN,India
Bajra,GROWN_IN,Kathua
Bajra,GROWN_IN,Maharashtra
Bajra,GROWN_IN,Jammu
Bajra,GROWN_IN,Jammu
Bajra,GROWN_IN,Rainfed
Bajra,GROWN_IN,Irrigated
Bajra,GROWN_IN,Western Region
Bajra,GROWN_IN,Himachal Pradesh
Bajra,GROWN_IN,Madhya Pradesh
Bajra,GROWN_IN,Uttar Pradesh
Bajra,GROWN_IN,Karnatak
Bajra,GROWN_DURING,Kharif
Bajra,GROWN_DURING,April
Bajra,GROWN_DURING,July
Bajra,GROWN_DURING,Wet Season
Bajra,AFFECTED_BY,Pests
Bajra,AFFECTED_BY,Stem Borer
Bajra,CONTROLLED_BY,Animal Feed Industry
Bajra,REQUIRES,Fym
Bajra,REQUIRES,Urea
Bajra,REQUIRES,Znso4 Heptahydrate
Bajra,REQUIRES,Znso4 Monohydrate
Bajra,REQUIRES,Di Ammonium Phosphate
Pearl Millet,GROWN_IN,Andhra Pradesh
Pearl Millet,GROWN_IN,Punjab
Pearl Millet,GROWN_IN,India
Pearl Millet,GROWN_DURING,Summer
Pearl Millet,GROWN_DURING,July
Pearl Millet,GROWN_DURING,June
Pearl Millet,GROWN_DURING,September
Pearl Millet,GROWN_DURING,October
Pearl Millet,GROWN_DURING,November
Pearl Millet,GROWN_DURING,December
Pearl Millet,GROWN_DURING,November
Pearl Millet,GROWN_DURING,Dryland Agriculture
Pearl Millet,AFFECTED_BY,Fall Armyworm
Pearl Millet,AFFECTED_BY,Stem Borer
Pearl Millet,AFFECTED_BY,Shoot Fly
Jowar,GROWN_IN,Andhra Pradesh
Jowar,GROWN_IN,Jammu
Jowar,GROWN_IN,Punjab
Jowar,GROWN_IN,Haryana
Jowar,GROWN_IN,India
Jowar,GROWN_IN,Karnataka
Jowar,GROWN_IN,Tamil Nadu
Jowar,GROWN_IN,Maharashtra
Jowar,GROWN_IN,Gujarat
Jowar,GROWN_IN,Jammu
Jowar,GROWN_IN,Jammu
Jowar,GROWN_IN,Rainfed
Jowar,GROWN_IN,Irrigated
Jowar,GROWN_IN,Western Region
Jowar,GROWN_IN,Rajasthan
Jowar,GROWN_IN,Uttar Pradesh
Jowar,GROWN_IN,Karnatak
Jowar,GROWN_IN,Maharashtra
Jowar,GROWN_DURING,Kharif
Jowar,GROWN_DURING,April
Jowar,GROWN_DURING,May
Jowar,GROWN_DURING,June -July
Jowar,GROWN_DURING,Wet Season
Jowar,CONTROLLED_BY,Animal Feed Industry
Jowar,REQUIRES,Fym
Jowar,REQUIRES,Urea
Jowar,REQUIRES,Znso4 Heptahydrate
Jowar,REQUIRES,Znso4 Monohydrate
Jowar,REQUIRES,Di Ammonium Phosphate
Jowar,HARVESTED,September -October
Sorghum,GROWN_IN,Soil
Sorghum,GROWN_IN,India
Sorghum,GROWN_IN,Okra
Sorghum,GROWN_IN,Tamil Nadu
Sorghum,GROWN_IN,Salem
Sorghum,GROWN_IN,Namakkal
Sorghum,GROWN_IN,Rainfed
Sorghum,GROWN_IN,Irrigated
Sorghum,GROWN_IN,China
Sorghum,GROWN_IN,Bangladesh
Sorghum,GROWN_IN,Dindigul
Sorghum,GROWN_IN,Rainfed
Sorghum,GROWN_IN,Rainfed
Sorghum,GROWN_IN,Dindigul
Sorghum,GROWN_IN,Theni
Sorghum,GROWN_IN,Sri Lanka
Sorghum,GROWN_IN,Tamil Nadu
Sorghum,GROWN_IN,Japan
Sorghum,GROWN_IN,Japan
Sorghum,GROWN_IN,Korea
Sorghum,GROWN_IN,Taiwan
Sorghum,GROWN_IN,Dharmapuri
Sorghum,GROWN_IN,Ramanathapuram
Sorghum,GROWN_IN,Virudhunagar
Sorghum,GROWN_IN,Sivagangai
Sorghum,GROWN_IN,Irrigated
Sorghum,GROWN_IN,Rainfed
Sorghum,GROWN_IN,Theni
Sorghum,GROWN_IN,Tirunelveli
Sorghum,GROWN_IN,Thoothukudi
Sorghum,GROWN_IN,Tiruchirapalli
Sorghum,GROWN_IN,Erode
Sorghum,GROWN_IN,Coimbatore
Sorghum,GROWN_IN,Coimbatore
Sorghum,GROWN_IN,Erode
Sorghum,GROWN_IN,Salem
Sorghum,GROWN_IN,Namakkal
Sorghum,GROWN_IN,Dharmapuri
Sorghum,GROWN_IN,Bangladesh
Sorghum,GROWN_IN,Burma
Sorghum,GROWN_IN,Pakistan
Sorghum,GROWN_IN,Malaysia
Sorghum,GROWN_IN,Taiwan
Sorghum,GROWN_IN,Burma
Sorghum,GROWN_IN,South East Asia
Sorghum,GROWN_IN,Korea
Sorghum,GROWN_IN,Indonesia
Sorghum,GROWN_DURING,Sunflower
Sorghum,GROWN_DURING,Rabi
Sorghum,GROWN_DURING,South West Monsoon
Sorghum,GROWN_DURING,North East Monsoon
Sorghum,GROWN_DURING,October - November
Sorghum,GROWN_DURING,June - July
Sorghum,GROWN_DURING,Dryland Agriculture
Sorghum,GROWN_DURING,April To June
Sorghum,AFFECTED_BY,Aspergillus
Sorghum,AFFECTED_BY,Shoot Fly
Sorghum,AFFECTED_BY,Anthracnose
Sorghum,AFFECTED_BY,Lepidoptera
Sorghum,AFFECTED_BY,Curvularia
Sorghum,AFFECTED_BY,Alternaria
Sorghum,AFFECTED_BY,Fusarium
Sorghum,AFFECTED_BY,Downy Mildew
Sorghum,AFFECTED_BY,Rust
Sorghum,AFFECTED_BY,Seedling Blight
Sorghum,AFFECTED_BY,Chlorotic Symptoms
Sorghum,AFFECTED_BY,Puccinia Purpurea
Sorghum,AFFECTED_BY,Ergot
Sorghum,AFFECTED_BY,Sphacelia Sorghi
Sorghum,AFFECTED_BY,Head Mould
Sorghum,AFFECTED_BY,Aspergillus
Sorghum,AFFECTED_BY,Phoma
Sorghum,AFFECTED_BY,Peronosclerospora Sorghi
Sorghum,AFFECTED_BY,Macrophomina Phaseolina
Sorghum,AFFECTED_BY,Sphacelotheca Sorghi
Sorghum,AFFECTED_BY,Shootfly
Sorghum,AFFECTED_BY,Helminthosporium Maydis
Sorghum,AFFECTED_BY,Helminthosporium Leaf Spot
Sorghum,AFFECTED_BY,Ustilago Nuda Tritici
Sorghum,AFFECTED_BY,Karnal Bunt
Sorghum,AFFECTED_BY,Puccinia Recondita F. Sp. Tritici
Sorghum,AFFECTED_BY,Black Rust
Sorghum,AFFECTED_BY,Brown Rust
Sorghum,AFFECTED_BY,Yellow Rust
Sorghum,AFFECTED_BY,Sorghum Midge
Sorghum,AFFECTED_BY,Lepidoptera
Sorghum,CONTROLLED_BY,Malathion
Sorghum,CONTROLLED_BY,Endosulfan
Sorghum,CONTROLLED_BY,Mancozeb
Sorghum,CONTROLLED_BY,Carbaryl
Sorghum,CONTROLLED_BY,Carbendazim
Sorghum,CONTROLLED_BY,Carbosulfan
Sorghum,CONTROLLED_BY,Cartap Hydrochloride
Sorghum,CONTROLLED_BY,Fipronil
Sorghum,CONTROLLED_BY,Chlorpyriphos
Sorghum,CONTROLLED_BY,Propiconazole
Sorghum,CONTROLLED_BY,Thiram
Sorghum,CONTROLLED_BY,Captan
Sorghum,CONTROLLED_BY,Carboxin
Sorghum,CONTROLLED_BY,Pendimethalin
Sorghum,CONTROLLED_BY,Phosalone
Sorghum,CONTROLLED_BY,Metalaxyl
Sorghum,CONTROLLED_BY,Vitavax
Sorghum,CONTROLLED_BY,"2,4-D"
Sorghum,CONTROLLED_BY,Pe Atrazine
Sorghum,CONTROLLED_BY,Thiram
Sorghum,CONTROLLED_BY,Captan
Sorghum,CONTROLLED_BY,Lambda Cyhalothrin
Sorghum,DEPENDS_ON,Npk
Sorghum,DEPENDS_ON,Azospirillum
Sorghum,DEPENDS_ON,Fym
Sorghum,DEPENDS_ON,Light Traps
Sorghum,DEPENDS_ON,Azospirillum
Sorghum,DEPENDS_ON,Phosphobacteria
Sorghum,DEPENDS_ON,Azophos
Sorghum,DEPENDS_ON,Azospirillum
Sorghum,DEPENDS_ON,Phosphobacteria
Sorghum,DEPENDS_ON,Npk
Sorghum,DEPENDS_ON,Azospirillum
Sorghum,DEPENDS_ON,Phosphobacteria
Sorghum,DEPENDS_ON,Azophos
Sorghum,DEPENDS_ON,Potassium Dihydrogen Phosphate
Sorghum,DEPENDS_ON,Azophos
Sorghum,DEPENDS_ON,Azospirillum
Sorghum,DEPENDS_ON,Phosphobacteria
Sorghum,DEPENDS_ON,Sex Pheromone Trap
Sorghum,DEPENDS_ON,Fishmeal Traps
Sorghum,DEPENDS_ON,High Soil Moisture
Sorghum,DEPENDS_ON,High Soil Moisture
Sorghum,REQUIRES,Insecticides
Sorghum,REQUIRES,Trichoderma Spp.
